EUVD,VEDAS
EUVD-1999-0174,0.0
EUVD-1999-0001,0.0
EUVD-1999-0168,0.0
EUVD-1999-0173,0.0
EUVD-1999-0004,0.0
EUVD-1999-0183,0.0
EUVD-1999-0005,0.0
EUVD-1999-0169,0.0
EUVD-1999-0028,0.0
EUVD-1999-0026,0.0
EUVD-1999-0003,0.0
EUVD-1999-0027,0.0
EUVD-1999-0039,0.0
EUVD-1999-0033,0.0
EUVD-1999-0035,0.0
EUVD-1999-0036,0.0
EUVD-1999-0030,0.0
EUVD-1999-0042,0.0
EUVD-1999-0006,0.0
EUVD-1999-0041,0.0
EUVD-1999-0010,0.0
EUVD-1999-0203,0.0
EUVD-1999-0016,0.0
EUVD-1999-0014,0.0
EUVD-1999-0202,0.0
EUVD-1999-0019,0.0
EUVD-1999-0018,0.0
EUVD-1999-0050,0.0
EUVD-1999-0059,0.0
EUVD-1999-0017,1.5000000000015001e-06
EUVD-1999-0051,0.0
EUVD-1999-0023,0.0
EUVD-1999-0038,0.0
EUVD-1999-0024,0.0
EUVD-1999-0037,0.0
EUVD-1999-0025,0.0
EUVD-1999-0032,-0.0005812000000000039
EUVD-1999-0031,0.0
EUVD-1999-0040,0.0
EUVD-1999-0022,-0.0005615999999999954
EUVD-1999-0034,0.0
EUVD-1999-0044,0.0
EUVD-1999-0047,0.0
EUVD-1999-0206,0.0
EUVD-1999-0064,0.0
EUVD-1999-0043,0.0
EUVD-1999-0204,0.0
EUVD-1999-0069,0.0
EUVD-1999-0058,0.0
EUVD-1999-0639,0.0
EUVD-1999-0201,0.0
EUVD-1999-0049,0.0
EUVD-1999-0199,0.0
EUVD-1999-0074,0.0
EUVD-1999-0054,0.0
EUVD-1999-0644,0.0
EUVD-1999-0048,0.0
EUVD-1999-0312,0.0
EUVD-1999-0053,0.0
EUVD-1999-0310,0.0
EUVD-1999-0066,0.0
EUVD-1999-0318,0.0
EUVD-1999-0060,0.0
EUVD-1999-0079,0.0
EUVD-1999-0052,0.0
EUVD-1999-0055,0.0
EUVD-1999-0324,0.0
EUVD-1999-0077,0.0
EUVD-1999-0080,0.0
EUVD-1999-0062,0.0
EUVD-1999-0653,0.0
EUVD-1999-0078,0.0
EUVD-1999-0056,0.0
EUVD-1999-0083,0.0
EUVD-1999-0063,0.0
EUVD-1999-0065,0.0
EUVD-1999-0073,0.0
EUVD-1999-0057,0.0
EUVD-1999-0326,0.0
EUVD-1999-0070,0.0
EUVD-1999-0061,0.0
EUVD-1999-0654,0.0
EUVD-1999-0487,0.0
EUVD-1999-0308,0.0
EUVD-1999-0331,0.0
EUVD-1999-0072,0.0
EUVD-1999-0076,0.0
EUVD-1999-0071,0.0
EUVD-1999-0333,0.0
EUVD-1999-0652,0.0
EUVD-1999-0647,0.0
EUVD-1999-0332,0.0
EUVD-1999-0316,0.0
EUVD-1999-0315,-0.0005427000000000071
EUVD-1999-0314,0.0
EUVD-1999-0491,0.0
EUVD-1999-0494,0.0
EUVD-1999-0345,0.0
EUVD-1999-0320,0.0
EUVD-1999-0356,0.0
EUVD-1999-0322,0.0
EUVD-1999-0349,0.0
EUVD-1999-0357,0.0
EUVD-1999-0092,0.0
EUVD-1999-0346,0.0
EUVD-1999-0323,0.0
EUVD-1999-0319,0.0
EUVD-1999-0317,0.0
EUVD-1999-0364,0.0
EUVD-1999-0374,0.0
EUVD-1999-0313,0.0
EUVD-1999-0367,0.0
EUVD-1999-0651,0.0
EUVD-1999-0363,0.0
EUVD-1999-0311,0.0
EUVD-1999-0081,0.0
EUVD-1999-0375,0.0
EUVD-1999-0649,0.0
EUVD-1999-0395,0.0
EUVD-1999-0068,0.0
EUVD-1999-0328,0.0
EUVD-1999-0648,0.0
EUVD-1999-0369,0.0
EUVD-1999-0398,0.0
EUVD-1999-0650,0.0
EUVD-1999-0084,0.0
EUVD-1999-0098,0.0
EUVD-1999-0189,0.0
EUVD-1999-0645,0.0
EUVD-1999-0075,0.0
EUVD-1999-0330,0.0
EUVD-1999-0196,0.0
EUVD-1999-0095,0.0
EUVD-1999-0188,0.0
EUVD-1999-0101,0.0
EUVD-1999-0327,0.0
EUVD-1999-0277,0.0
EUVD-1999-0321,0.0
EUVD-1999-0329,0.0
EUVD-1999-0325,0.0
EUVD-1999-0190,0.0
EUVD-1999-0290,0.0
EUVD-1999-0082,0.0
EUVD-1999-0289,0.0
EUVD-1999-0294,0.0
EUVD-1999-0284,0.0
EUVD-1999-0085,0.0
EUVD-1999-0486,0.0
EUVD-1999-0335,0.0020022000000000095
EUVD-1999-0661,0.0023308000000000217
EUVD-1999-0470,0.0
EUVD-1999-0288,0.0
EUVD-1999-0657,0.0
EUVD-1999-0669,0.0
EUVD-1999-0292,0.0
EUVD-1999-0490,0.0
EUVD-1999-0286,0.0
EUVD-1999-0086,0.0
EUVD-1999-0341,0.0
EUVD-1999-0339,0.0
EUVD-1999-0659,0.0
EUVD-1999-0492,0.0
EUVD-1999-0493,0.0
EUVD-1999-0681,0.0
EUVD-1999-0664,0.0
EUVD-1999-0338,0.0
EUVD-1999-0671,0.0
EUVD-1999-0646,0.0
EUVD-1999-0690,0.0
EUVD-1999-0343,0.0
EUVD-1999-0334,0.0
EUVD-1999-0489,0.0
EUVD-1999-0336,0.0
EUVD-1999-0674,0.0
EUVD-1999-0670,0.0
EUVD-1999-0663,0.0
EUVD-1999-0087,0.0
EUVD-1999-0340,0.0
EUVD-1999-0695,0.0
EUVD-1999-0633,0.0
EUVD-1999-0089,0.0
EUVD-1999-0678,0.0
EUVD-1999-0679,0.0
EUVD-1999-0688,0.0
EUVD-1999-0088,0.0
EUVD-1999-0496,0.0
EUVD-1999-0488,0.0
EUVD-1999-0658,0.0
EUVD-1999-0697,0.0
EUVD-1999-0351,0.0
EUVD-1999-0090,0.0
EUVD-1999-0347,0.0
EUVD-1999-0091,0.0
EUVD-1999-0342,0.0
EUVD-1999-0130,0.0
EUVD-1999-0495,0.0
EUVD-1999-0108,0.0
EUVD-1999-0132,0.0
EUVD-1999-0350,0.0
EUVD-1999-0355,0.0
EUVD-1999-0114,0.0
EUVD-1999-0358,0.0
EUVD-1999-0691,0.0
EUVD-1999-0337,0.0
EUVD-1999-0303,0.0
EUVD-1999-0353,0.0
EUVD-1999-0362,0.0
EUVD-1999-0348,0.0
EUVD-1999-0344,0.0
EUVD-1999-0301,0.0
EUVD-1999-0703,0.0
